DateCreated,Status,OrganizationType,Name,ShortName,Affiliated School,Membership Type,Approximate year the organization was founded at UVA,"Please list 3-5 Primary Events/Programs that your CIO hosts each year. If you do not have annual recurring events,please list some of the events/programs you hosted this past year.",Total number of Members (approximate),"Approximate membership dues per academic year (if zero,please write ""zero"")","Approximately,how much money do members spend out of pocket per academic year,not including dues,for your CIO activities? (write the number,don't include $)","Please list your primary sources of funding (SAF,fundraisers,national organizations,alumni,departments,etc.)","Not including SAF,approximately how much money does your organization fundraise per academic year?",Does???ˇthis organization require an application or an interview/audition process to join?,How frequently does???ˇthis organization meet?,"Approximately how many hours/week do non-exec members spend on your organization's activities (meetings,events,planning,etc.)?",When does???ˇthis organization elect new officers?,When does???ˇthis organization do recruitment/membership intake?,"Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Marketing","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Planning Events","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Reserving Spaces","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Fundraising/Budgeting/Co-Sponsorships","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Transitioning Officers","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Recruiting New Members","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Delegation","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Community Building/Icebreakers","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Motivating Members","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Holding Members Accountable","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Developing a Mission/Vision","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Collaboration (with other CIOs,the community,faculty/staff,etc.)","Please check any of the following areas that your organization would most like additional resources on (try for a minimum of 3 or if not interested,select NONE). - Other",Are you the 2020-2021 incoming President OR a 2020-2021 returning member/officer????ˇ,Are you a first time President?
5/14/2020 13:48,Approved,Contracted Independent Organization,Competitive Speech and Debate at the University of Virginia,CSD,Leadership and Public Policy (Batten),Predominantly Undergraduate Students,2015,"Speech tournaments, volunteering with local high school speech and debate tournaments, social events",10,zero,0,"SAF, fundraisers","$1,000 ",Interview/Audition,Weekly,2-Jan,November,Fall & Spring Semester,Marketing,Planning Events,,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,Community Building/Icebreakers,Motivating Members,Holding Members Accountable,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary","No, I am a returning President for this organization"
4/6/2020 14:29,Approved,Contracted Independent Organization,Habitat for Humanity Club at the University of Virginia ,HUVA,No affiliated schools,Both Undergraduate and Graduate Students,2010,"On a regular basis, we, as a Club, volunteer on the build-site, at the Habitat Store, and wherever Habitat for Humanity of Greater Charlottesville may need us. Beyond this, we put on the Rake-a-Thon in early November and other fundraising events throughout the Fall and Spring Semesters. We participate in World Habitat Day on October 1st, Act! Speak! Build! Week during April, and other initiatives outlined by Habitat for Humanity International throughout the year. However, the most important thing to us as an organization is creating a community of people who care about and want to give back to the University/Charlottesville.",40,Zero,0,"SAF, fundraising, national organizations","$1,000 ",Neither,Monthly,3,March ,Members can join at any time,Marketing,,,Fundraising/Budgeting/Co-Sponsorships,Transitioning Officers,Recruiting New Members,,Community Building/Icebreakers,Motivating Members,Holding Members Accountable,Developing a Mission/Vision,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","No, I am a returning President for this organization"
5/27/2020 16:54,Approved,Contracted Independent Organization,Club Dodgeball at the University of Virginia ,Club Dodgeball,Arts and Sciences,Both Undergraduate and Graduate Students,2016,"The club will have practices twice a week, on Tuesday and Friday, where anyone can come and play pick-up games of dodgeball. Practices will last about an hour and a half, and the rules and regulations of the NCDA will be taught throughout them. Additionally, we compete in the National Collegiate Dodgeball Association, where we travel around Virginia, Maryland, West Virginia and occasionally Pennsylvania or Ohio to compete with other schools. We will also plan on hosting two tournaments, one fall and one spring, this upcoming year.",35,50,,"SAF, Parents' Fund, Fundraisers, Dues",1000,Neither,Weekly,3,April ,Members can join at any time,,,,,,,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/12/2020 16:49,Approved,Contracted Independent Organization,Operation Smile,Operation Smile,No affiliated schools,Predominantly Undergraduate Students,2017,"S'mores for Smiles, Yogathon, T-shirts, Songs for Smiles",25,Zero,100,fundraisers,1200,Neither,Monthly,1,April ,Fall & Spring Semester,,Planning Events,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,,,,,,,,,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary","No, I am a returning President for this organization"
5/1/2020 16:09,Approved,Contracted Independent Organization,Multiple Sclerosis Society at UVA,MSS,No affiliated schools,Predominantly Undergraduate Students,2015,Planning fundraisersCreating and recruiting for Walk MS teamVolunteering with National MS ChapterVolunteering with MS ClinicConducting MS research,20,zero,10,Fundraisers,1500,Neither,Monthly,1,February,Fall semester,Marketing,,,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,,,,,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary","No, I am a returning President for this organization"
5/15/2020 11:35,Approved,Contracted Independent Organization,Alpha Omega Epsilon,A.O.E.,Engineering,Predominantly Undergraduate Students,2005,"Recruitment Events - weeklong events of recruitment, culminating in Preference Night and Bid DayFundraising Events - Chipotle Fundraiser, Stadium Clean Up, Track MeetsSisterhood Events- two events per semester, examples include Day Away and sisterhood dinnersSocial Events - semi-formal and date function eventsCommunity Service events - We volunteer with Habitat for Humanity, local elementary schools, and other organizations in the Charlottesville communityAcademic Events - SIS Nights, Lectures on Interviewing or on Life after UVa, study breaksProfessional Events - Resume reviews, mock interviews, special events with companiesPhilanthropy - Our current philanthropy is Ladies in the Lab, where we expose young girls to STEM fields.",100,250,30,"Parent's Fund, dues",1500,Interview/Audition,Weekly,Two,November,Spring Semester,,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/22/2020 15:57,Approved,Contracted Independent Organization,Nursing Students Without Borders,NSWB,Nursing,Both Undergraduate and Graduate Students,1999,"Events in 2019-2020- two trip to San Sebastian, El Salvador, to strengthen our relationship with the community - clothing drive for the people of San Sebastian - health fair at the Haven for the homeless community - fundraiser selling badge reels- bake sale on the Lawn - making paper flowers for 8W at the UVA hospital - making balloon animals for the Boys and Girls Club - assembling goodie bags for the homeless in our community - volunteering at the Hospitality House- selling hammocks and blankets from San Sebastian at Family Weekend Events in 2018-2019: - two trips to San Sebastian, El Salvador to strengthen our relationship with the community - clothing drive for the people of San Sebastian - health fair at the Haven for the homeless community - participation in the Kidvention, a science and technology fair for local kids - volunteered with the Prince and Princess Club playing with local children - fundraiser at Eddy'sEvents in 2017-2018-card making for patients-supply drive for the Haven-book drive for West Haven and halloween event wiht them-Face painting at trick or treating at the lawn-fundraisers for our clinic in el salvador-groundbreaking party-chipotle fundraiser-sweet frog fundraiser-selling cups, wine glasses and tshirts-annual garden party",30,zero,,"SAF, fundraisers, nursing school funds","$1,500 ",Neither,Monthly,1,April ,Members can join at any time,,,,Fundraising/Budgeting/Co-Sponsorships,Transitioning Officers,Recruiting New Members,,,,,,,,"Yes, I am the incoming President.","No, I am a returning President for this organization"
4/20/2020 20:18,Approved,Contracted Independent Organization,The Whethermen,Whethermen,No affiliated schools,Predominantly Undergraduate Students,1997,"Improv shows for large-capacity audiences, intermission performances for other CIOs, local gigs for charity and events around Grounds, workshops for UVa institutions and departments",13,Zero,,Improv shows,1600,Interview/Audition,Weekly,4,November,Fall & Spring Semester,,Planning Events,Reserving Spaces,,,,,,,,,,,"Yes, I am the incoming President.","No, I am a returning President for this organization"
5/4/2020 23:12,Approved,Contracted Independent Organization,Air Force ROTC at UVA,AFROTC,No affiliated schools,Predominantly Undergraduate Students,2020,"We hold physical training sessions every Monday and Wednesday at 6:00 AM that have approximately 60 cadets in attendance. Cadets spend approximately an hour on cardio and weightlifting according to set workouts each week.In the fall, we offer a weekend training day for cadets to improve their military skills, including land navigation and small unit tactics. Through mission scenarios and paintball fights, this training immerses cadets in the military environment to improve our leadership capabilities and prepare to be Air Force officers. Each spring, we host a Dining Out with over 50 UVA cadets in attendance. Similar to a formal, Dining Out invites family members and partners to join the AFROTC community for an evening of dinner, awards, and performances.In November, we organize and participate in a Veterans' Day ceremony honoring prisoners of war and those servicemembers missing in action.Every other Friday this semester we have organized rock climbing at Slaughter Gym. Get stronger in a challenging and dynamic way!",60,Zero,10,-,2000,Neither,Weekly,3,April ,Fall & Spring Semester,Marketing,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
5/1/2020 14:24,Approved,Contracted Independent Organization,First Generation / Low Income Partnership at the University of Virginia,FLIP at UVA,No affiliated schools,Predominantly Undergraduate Students,2019,"Office Hours (weekly on Mondays and Wednesdays, 6-8pm, 1515 Sunroom)Future dates: 11/11, 11/13, 11/20, 11/2, 11/4. These will occur every semester (with an updated time and location) indefinitely. End of Semester Student-Faculty Mixer (11/18, 5-7pm, Newcomb Ballroom)This dinner will provide an opportunity for FGLI students to engage with FGLI-identifying or previously identifying faculty and administrators around Grounds. Catering will be provided. Occurs every fall semester. Mentorship Program (Starting Spring Semester 2020, includes weekly bonding events)The mentorship program will foster intra-community support and camaraderiewhile simultaneously providing leadership opportunities for FGLI mentors. Meetings are to be determined, but will occur several times a month. FGLI Stories Rotunda Dinner (Spring Semesters)Rotunda Dinners will be open to all FGLI students and will culminate at the end of the spring semester, providing students the opportunity to celebrate their yearly achievements. Students and faculty will be invited to speak during the event.",92,zero,0,"Parents Fund, Jefferson Trust, Student Engagement Fund",2000,Neither,Monthly,1,April ,Members can join at any time,,Planning Events,,Fundraising/Budgeting/Co-Sponsorships,Transitioning Officers,,,,,,,,,"No, I am not, but I am the only one who makes sense to renew the organization at this time.","Yes, this is my first time as President for this organization"
4/29/2020 12:47,Approved,Contracted Independent Organization,Growing for Change,G4C,No affiliated schools,Predominantly Undergraduate Students,2017,"Growing for Change activities will include attending regular meetings, visiting participating residents in Westhaven, designing garden models, and building in the Architecture wood shop.",30,zero,0,Grant awards,2500,Neither,Weekly,2-Jan,March ,Fall semester,,,,,,,,,Motivating Members,Holding Members Accountable,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","No, I am a returning President for this organization"
4/15/2020 19:44,Approved,Contracted Independent Organization,Jubilate,,No affiliated schools,Both Undergraduate and Graduate Students,1973,"Fall Variety Show, Christmas Lessons and Carols, Lighting of the Lawn, Spring Break Tour and volunteer work, On & off-grounds concerts, reunion events, social events, devotionals.",15,$100 ,,"Jubilate Alumni Organization, University Baptist Church, Fundraisers","$3,000 ",Interview/Audition,Weekly,3-Feb,May,Members can join at any time,Marketing,,,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/6/2020 15:39,Approved,Contracted Independent Organization,Ballroom Dance Club at the University of Virginia,Ballroom Dance Club at UVA,No affiliated schools,Both Undergraduate and Graduate Students,2001,"Our organization is sponsoring a number of events this year.  In addition to weekly lessons, we host and attend social dances and other non-dancing social events for our club members. We also put on events such as Masquerade Ball, Dancing with the Professors, Rotunda Ball, and a semesterly Showcase where our dancers can exhibit all the skills they have learned over the semester.",45,140,$100 ,"SAF, fundraisers, alumni, Parent Fund","$3,000 ",Neither,Weekly,5 hours,November,Fall & Spring Semester,,,,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/27/2020 21:29,Approved,CIO - Law ,Virginia Environmental Law Journal,VELJ,Law,Predominantly Graduate Students,1980,"We publish two issues per year, hold an annual academic symposium, and host other environmental law related events.",30-35,Zero,0,SAF; law school foundation; royalties,3080.63,Application,Once or twice a semester,Non-exec members are required to complete two cite checks (6-8 hours of work each) per year as well as attend our annual symposium in the Fall.,March ,Spring Semester,,,,,,,,,,,,,,"Yes, I am the incoming President.","No, I have held a President position for other organizations, but this is my first time as President of this organization"
5/4/2020 17:42,Approved,Contracted Independent Organization,Community Honor Fund,CHF,No affiliated schools,Predominantly Undergraduate Students,2015,Financial coaching training program; underwriting training program; one-on-one client meetings with UVA-affiliated employees and Charlottesville community; various social events,12,zero,25,Grants,4000,Both,Weekly,5,January,Fall semester,Marketing,Planning Events,,Fundraising/Budgeting/Co-Sponsorships,Transitioning Officers,,Delegation,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/22/2020 15:51,Approved,Contracted Independent Organization,The Navigators,Navs,No affiliated schools,Predominantly Undergraduate Students,2016,"Weekly worship gathering, weekly small groups, retreats, socials, discipleship, leadership development, summer missions, and more!",60,zero,150,fundraising,5000,Neither,Weekly,3,March ,Members can join at any time,,,,,,,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
5/9/2020 15:05,Approved,Contracted Independent Organization,Undergraduate Black Law Students Association ,UBLSA,Arts and Sciences,Predominantly Undergraduate Students,2013,"Personal Statement Writing WorkshopsDebatesLSAT practice test from KaplanLSAT prep classes General body social eventsCosponsorships (w/Fraternities, LPJ, BSA, BUC, etc)Resume Building Workshop Law School Tour",45,25,100,SAF and parents fund,5000,Neither,Monthly,2,March ,Members can join at any time,Marketing,Planning Events,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,Transitioning Officers,Recruiting New Members,Delegation,Community Building/Icebreakers,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","No, I am a returning President for this organization"
5/26/2020 14:24,Approved,Contracted Independent Organization,New Dominions,Newdos,Arts and Sciences,Predominantly Undergraduate Students,1990,"One concert on Grounds each semester, as well as gigs both on and off Grounds, and tours to other universities.",20,40,150,SAF and Semester Concerts,5000,Interview/Audition,Weekly,6,November,Fall & Spring Semester,,,,,,,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
5/1/2020 14:07,Approved,Contracted Independent Organization,PULSE at UVA,PULSE,No affiliated schools,Both Undergraduate and Graduate Students,2015,"PULSE's primary activity is its dialogue retreat held over fall and spring break every semester. At this retreat,   about fifty participants from all across the University meet to dialogue about key topics of identity, leadership, and inclusion (e.g. race, gender, mental health, systems of oppression, social activism). Leading up the retreat, moderators and leadership team members meet weekly for planning and training. Outside of the retreat, PULSE occasionally has social, dialogue, and activism events for former participants still at UVA. Some examples of such events include movie night screenings, a sunrise hike to Humpback, dialogues about body image, and poster-making sessions for movements like Eliminate the Hate.",20,Zero,0,"SAF, ODOS, ODEI, MSS, VPSA, Honor",5000,Application,Weekly,0,March ,Fall & Spring Semester,Marketing,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,Transitioning Officers,Recruiting New Members,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"No, I am not, but I am the only one who makes sense to renew the organization at this time.","No, I am a returning President for this organization"
5/2/2020 22:45,Approved,Contracted Independent Organization,Society of Women Engineers,SWE,Engineering,Predominantly Undergraduate Students,1978,"Career enhancement activities, social outings, high school/middle/elementary school STEM outreach Examples of activities include: Apple picking at Carter Mountain, Humpback Rock hiking trip, company-sponsored workshops,  pumpkin painting, annual and regional conferences, monthly general body meetings, Dine with the Dean, etc.",130,zero,0,"SAF, Parents' Fund, engineering student council","$5,000 ",Neither,Monthly,2-Jan,April ,Members can join at any time,,,,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,Motivating Members,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/13/2020 16:21,Approved,CIO - Darden,Darden African Business Organization,DABO,Business (Darden),Predominantly Graduate Students,2002,"Emerging Market Leadership Speaker Series, Africa Trek,Global Food FestivalAfrica Week,Wharton African Business Forum",85,45,14000,"SAF, Sponsorship,OSA, Club Patnership",6500,Application,Weekly,2,February,Fall & Spring Semester,Marketing,Planning Events,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",Getting exposure to the broader student community,"No, I am not, but I am the only one who makes sense to renew the organization at this time.",n/a
4/8/2020 13:45,Approved,Contracted Independent Organization,Virginia Women's Rugby,VWRFC,No affiliated schools,Both Undergraduate and Graduate Students,1976,Matches against other schools' women's rugby teams.Practices of rugby skills on Mad Bowl field three times per week.Team dinnersCompetitive rugby tour of IrelandFundraising events,30,80,200,"fundraisers, alumni, donations",10000,Neither,Weekly,10,May,Members can join at any time,,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/23/2020 12:10,Approved,Contracted Independent Organization,Ducks Unlimited chapter at the University of Virginia,DU at UVA,No affiliated schools,Predominantly Undergraduate Students,2017,"River clean-ups, conservation opportunities education, Skeet shooting, fishing, wood duck box assembly, fundraising events.",45,zero,0,fundraisers,"40,000",Neither,Weekly,2,September,Members can join at any time,,,,,,,,,,,,,,"Yes, I am the incoming President.","No, I am a returning President for this organization"
4/27/2020 15:49,Approved,Contracted Independent Organization,HooThon at UVA,DM,No affiliated schools,Predominantly Undergraduate Students,2000,Hosting benefit nights at local restaurants and retail stores; weekly meetings; 6-hour Hoothon (marathon of standing at the end of the school year),80,zero,,National organizations,"60,000",Application,Weekly,2hrs/week,April ,Fall semester,,,,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,Holding Members Accountable,,,,"Yes, I am the incoming President.","No, I am a returning President for this organization"
5/3/2020 15:46,Approved,Contracted Independent Organization,Camp Kesem at the University of Virginia,Camp Kesem at UVA,No affiliated schools,Predominantly Undergraduate Students,2005,"Fundraising, Counselor Training, Team Building, Fun Activities, Krazy Kesem Week, Make the Magic Gala, Camp Reunions, and two weeks of Camp Kesem (generally the first and second weeks of August)!",100,zero,,Fundraisers,"$115,000 ",Both,Weekly,2-Jan,September,Fall semester,,,,,,,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
5/12/2020 13:41,Approved,Contracted Independent Organization,Detachment 890 Drill Team, Detachment 890 Drill Team,No affiliated schools,Predominantly Undergraduate Students,-,Activities of the Detachment 890 Drill Team include performing color guards for the University of Virginia and the surrounding Charlottesville area as well as participating in local drill competitions.,50,Zero,,-,-,Neither,N/A,-,May,Fall semester,,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,,,,Motivating Members,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
5/31/2020 12:18,Approved,Contracted Independent Organization,NAMI on Campus at the University of Virginia,NAMI on Grounds,Arts and Sciences,Predominantly Undergraduate Students,2000,#ERROR!,30,zero,,SAF,-,Neither,Weekly,1,November,Members can join at any time,Marketing,Planning Events,,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,Motivating Members,,,,,"No, I am not, but I am the only one who makes sense to renew the organization at this time.",n/a
5/15/2020 12:14,Approved,Contracted Independent Organization,Virginia Triathlon Team,Virginia Triathlon Team,No affiliated schools,Both Undergraduate and Graduate Students,2002,Training for triathlons.Competing in the USA Triathlon Mid Atlantic Collegiate Triathlon Conference as a team. UVa Indoor Triathlon,45,$100 ,depends on the athlete,SAF and fundraisers,$250-500,Neither,Weekly,3-Jan,November,Members can join at any time,,Planning Events,,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,,,,,"Yes, I am the incoming President.","No, I am a returning President for this organization"
5/1/2020 22:46,Approved,Contracted Independent Organization,National Association of Black Journalists at UVA,NABJ-UVA,Arts and Sciences,Predominantly Undergraduate Students,2017,"Fundraising events, Forums, Professional development events.",15,5,Less than $30,Fundraising,$50-$75,Application,Monthly,3-Jan,May,Members can join at any time,Marketing,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,,,,,,,,,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary","No, I am a returning President for this organization"
4/17/2020 20:35,Approved,CIO - Law ,Public Interest Law Association,PILA,Law,Predominantly Graduate Students,No Response,"Our activities include: panel discussions involving public interest law, Alternative Spring Break trips, fundraising activities, the PILA Auction, the Shaping Justice Conference, board meetings, events for students interested in public interest law, and summer grant disbursements to law students pursuing unpaid or low-paying public interest internships.",350,Zero,,"SAF, Fundraisers, Law School Foundation","$55,000+",Neither,Monthly,n/a,March ,Members can join at any time,,Planning Events,,Fundraising/Budgeting/Co-Sponsorships,,,,Community Building/Icebreakers,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
5/2/2020 16:50,Approved,Contracted Independent Organization,Society of Physics Students at the University of Virginia,SPS,Arts and Sciences,Predominantly Undergraduate Students,2013,Weekly lunches and seminarsTutoringMentoringAdvisingResearchOutreach Social gatherings,30,zero,0,"physics department, college council",~200,Neither,Weekly,1.5,April ,Members can join at any time,Marketing,,,Fundraising/Budgeting/Co-Sponsorships,,,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","No, I am a returning President for this organization"
4/24/2020 21:57,Approved,Contracted Independent Organization,Accessible Theatre Project,ATP,Education (Curry),Predominantly Undergraduate Students,2016,"Accessible Theatre Project organizes accessible, sensory-friendly performances of currently existing shows in Charlottesville. The Executive team meets regularly to plan these performances and associated volunteers go through volunteer training and work at shows as support staff.",20,zero,0,"Student Activities Fund, Student Arts Fund, JPC, various arts/service grants",100-200,Interview/Audition,Weekly,0-1,October,Members can join at any time,,,,,,,,,,,,,,"Yes, I am the incoming President.","No, I am a returning President for this organization"
5/1/2020 15:18,Approved,Contracted Independent Organization,United Nations Children's Fund at UVA,UNICEF at UVA,No affiliated schools,Predominantly Undergraduate Students,2011,"Trick or Treat for UNICEF Festival, Human Trafficking Awareness Week, World Water Week, Speaker events, Film screenings",50,10,0,"Fundraisers, SAF",250-350$,Neither,N/A,"Differs based on member, but around 1 hour every other week on average. This is not including optional volunteer events.",April ,Members can join at any time,Marketing,Planning Events,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,,,Community Building/Icebreakers,,,Developing a Mission/Vision,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/25/2020 11:06,Approved,Contracted Independent Organization,Hoos for Memory,Hoos for Memory,No affiliated schools,Predominantly Undergraduate Students,2010,"Volunteering at area nursing homes, participating in the Walk to End Alzheimer's, fundraising events including the CarnivALZ to benefit UVA Alzheimer's research.",50,Zero,0,Fundraisers,500-1000,Neither,Weekly,1,September,Members can join at any time,Marketing,Planning Events,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary","No, I am a returning President for this organization"
5/2/2020 21:41,Approved,Contracted Independent Organization,Best Buddies at UVA,Best Buddies,No affiliated schools,Predominantly Undergraduate Students,2011,"Primary Events: ""Meet the Buddies"" (fall event), Match Party, Halloween Party, Thanksgiving Potluck, Holiday Party, Valentine's Dance, Summer Cookout, etc.",75,zero,,Fundraisers and UVA grants,Approx. $300-400,Application,Monthly,5-Apr,April ,Fall semester,Marketing,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,,,,,Holding Members Accountable,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
5/1/2020 11:39,Approved,Contracted Independent Organization,The Q* Anthology of Queer Culture,Q*,Architecture,Predominantly Undergraduate Students,2017,Fall Call for SubmissionsFall Outreach EventFall Student Activities Fair Fall Fundraising Event(s)Spring Design CharretteSpring Launch Event to Release Print EditionSpring Student Activities Fair Spring Fundraising Event(s) Spring Creative Media Open House,20,Zero,"199 (if using the Adobe Suite, though we are looking into alternative funding sources for this expense)","The Jefferson Trust, The Parents Fund, and The Serpentine Society","Currently, $0, but we plan to fundraise more this academic year.",Neither,Weekly,1,April ,Fall & Spring Semester,Marketing,,,Fundraising/Budgeting/Co-Sponsorships,Transitioning Officers,,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","No, I am a returning President for this organization"
4/10/2020 14:35,Approved,Contracted Independent Organization,Cavalier Symphony Orchestra,CSO,No affiliated schools,Both Undergraduate and Graduate Students,2016,"Weekly rehearsals (weekends).Concerts each semester, both on and off Grounds.Regular social events: Murder Mystery Dinners, hikes, parties, movie nights, BBQs, game nights, etc",135,55,,"SAF, fundraisers, grants (Parent's fund, Alumni Hall, etc)","Extremely dependent on semester, but anywhere from $500-$1500, most if it going towards concert related costs",Neither,Weekly,3-Jan,March ,Fall & Spring Semester,Marketing,,,,,,,,Motivating Members,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
4/8/2020 17:14,Approved,Contracted Independent Organization,Virginia Polo,Virginia Polo,No affiliated schools,Predominantly Undergraduate Students,1950,"Practicing polo and competing against various collegiate polo teams across the country. Polo games are typically held on weekend nights. We practice on our own schedules, but polo is played at the facility nearly every day.",25,$500-$2000,20,"Alumni, United States Polo Association, Fundraisers",More than 1000,Interview/Audition,Weekly,8-Jun,April ,Fall & Spring Semester,Marketing,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,,,"Collaboration (with other CIOs, the community, faculty/staff, etc.)",,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary","No, I am a returning President for this organization"
5/4/2020 10:57,Approved,Contracted Independent Organization,Native American Student Union at the University of Virginia,NASU,No affiliated schools,Predominantly Undergraduate Students,2007,Stories of the Night Sky - annual event in the fall in partnership with the Department of AstronomyHoos Down Under - event hosted for the first time this spring with Kluge-Ruhe Aboriginal Art CollectionMovie nights with other student organizations (annual),10,zero,0,"Grants (including SAF, UVA Trust fund, Cultural  Program Board,MSC,MSS, and Parents Fund)",,Neither,Monthly,one,April ,Members can join at any time,,Planning Events,,Fundraising/Budgeting/Co-Sponsorships,,Recruiting New Members,,,,,,,,"Yes, I am the incoming President.","Yes, this is my first time as President for this organization"
5/3/2020 13:09,Approved,Contracted Independent Organization,Science Policy Initiative at UVA,SPI at UVA ,No affiliated schools,Predominantly Graduate Students,2017,Science Policy Career PanelLunch seminar seriesScience Policy Bootcamp,30,zero,0,"PhD+, external grant (Schmidt Foundation)",,Neither,Monthly,5,January,Members can join at any time,Marketing,,Reserving Spaces,Fundraising/Budgeting/Co-Sponsorships,,,,,,,,,,"Yes, I am a returning member/officer and will update the Primary Contact/President later if necessary","No, I am a returning President for this organization"
